interval_start_utc,interval_end_utc,net_load,renewables,renewables_to_load_ratio,load.load,load.ae,load.aep,load.aps,load.atsi,load.bc,load.comed,load.dayton,load.deok,load.dom,load.dpl,load.duq,load.ekpc,load.jc,load.me,load.pe,load.pep,load.pjm_mid_atlantic_region,load.pjm_rto,load.pjm_southern_region,load.pjm_western_region,load.pl,load.pn,load.ps,load.reco,load_forecast.load_forecast,fuel_mix.coal,fuel_mix.gas,fuel_mix.hydro,fuel_mix.multiple_fuels,fuel_mix.nuclear,fuel_mix.oil,fuel_mix.solar,fuel_mix.storage,fuel_mix.wind,fuel_mix.other,fuel_mix.other_renewables
2024-02-01 20:00:00+00:00,2024-02-01 21:00:00+00:00,83826.649975,8567.916666666666,0.09545819826847173,89757.39997500001,1025.3178658333331,14342.451775,5575.646061666666,7696.597431666668,3145.6867941666665,10342.603325,2000.6922774999996,2877.9131575000006,12761.457533333332,1883.8097074999998,1489.7050741666665,1567.1802566666668,2625.8456975000004,1959.1986091666668,4568.27131,3055.4882775000005,31103.770966666663,89757.39997500001,12761.457533333332,44326.646474999994,5328.9763575,2142.0152099999996,5130.186795833334,169.3744035,90703.75,13906.166666666666,39688.416666666664,1955.3333333333333,171.08333333333334,33452.416666666664,238.83333333333334,3874.5833333333335,0.0,2056.1666666666665,,681.8333333333334
2024-02-01 21:00:00+00:00,2024-02-01 22:00:00+00:00,87672.61555555556,7405.0,0.08116708624792016,91692.72666666667,1126.710041111111,14487.373711111111,5695.241985555556,7770.5126833333325,3321.864112222222,10421.40657777778,1997.3990322222223,2897.0397944444444,13280.996522222222,2037.1951199999999,1512.841008888889,1607.4947100000002,2730.0597688888893,2007.134673333333,4644.342394444445,3208.310138888889,32022.42101111111,91692.72666666667,13280.996522222222,44780.53373333333,5385.839954444445,2173.700002222222,5277.450202222222,173.60778077777775,93747.08333333333,13654.166666666666,40685.166666666664,2748.8333333333335,170.08333333333334,33444.666666666664,210.83333333333334,2263.1666666666665,0.0,1699.1666666666667,,693.8333333333334
2024-02-01 22:00:00+00:00,2024-02-01 23:00:00+00:00,93773.00200833334,6838.166666666667,0.07140284159731805,95806.5853416667,1236.8079933333331,15007.289608333333,5992.158876666667,7992.321682500001,3607.84762,10701.48755,2034.9497483333334,2953.549746666666,14201.916500000001,2254.0691583333332,1568.0771075,1674.1592208333332,2913.5807,2102.1108833333333,4838.884895833334,3414.2970433333335,33680.432875000006,95806.5853416667,14201.916500000001,46249.16665,5550.887577500001,2275.801445833333,5463.5707775,181.31147916666666,97361.79166666667,14405.916666666666,43059.5,4115.083333333333,170.91666666666666,33445.833333333336,202.5,508.4166666666667,14.666666666666666,1525.1666666666667,,689.5
2024-02-01 23:00:00+00:00,2024-02-02 00:00:00+00:00,97116.915,7194.75,0.07271645408369037,98942.33166666667,1281.66571,15729.925891666666,6235.124155833334,8147.878429166666,3785.505558333333,11232.356758333333,2108.214705,3067.370239166666,14800.383758333332,2373.4029583333336,1572.0140591666668,1815.815495,2940.3760041666665,2130.5548633333333,4875.491214166666,3495.974010833333,34233.899033333335,98942.33166666667,14800.383758333332,48088.023491666674,5583.477785,2320.6202141666668,5463.6035825,181.31560224999998,98614.29166666667,15455.0,44516.416666666664,4705.083333333333,172.83333333333334,33449.666666666664,200.16666666666666,134.66666666666666,17.833333333333332,1690.75,,664.25
2024-02-02 00:00:00+00:00,2024-02-02 01:00:00+00:00,96105.57960833334,7278.666666666667,0.07409257239919682,98238.246275,1271.195455,15662.552325000002,6202.316563333334,8062.249820833334,3764.2091783333326,11263.783083333334,2106.2815975,3063.8895625,14815.679941666667,2380.4581183333335,1556.0672808333336,1750.1618491666668,2840.699598333334,2105.2420516666666,4759.208460000001,3453.2451608333326,33755.263875,98238.246275,14815.679941666667,47918.13130833333,5486.548033333333,2309.3679816666668,5364.08369,177.15414675,97755.54166666667,15698.916666666666,44235.833333333336,4480.333333333333,172.08333333333334,33440.833333333336,200.0,35.166666666666664,18.916666666666668,2097.5,,665.6666666666666
2024-02-02 01:00:00+00:00,2024-02-02 02:00:00+00:00,94460.03916666667,6950.25,0.07144625344292962,97278.28916666667,1243.9785133333335,15712.731941666667,6124.509950833333,8040.359831666668,3720.620718333332,11126.496325,2081.127305,3036.4397508333336,14752.697525000001,2358.3701866666665,1525.4607816666667,1844.7278674999998,2766.332175833333,2054.036470833333,4651.692169166668,3392.6452399999994,33033.440591666666,97278.28916666667,14752.697525000001,47646.94009166667,5371.364053333333,2224.0331441666663,5255.9420275,172.6562860833333,95955.58333333333,15623.166666666666,44247.666666666664,3468.75,171.08333333333334,33209.916666666664,202.75,28.916666666666668,18.083333333333332,2789.3333333333335,,663.25
2024-02-02 02:00:00+00:00,2024-02-02 03:00:00+00:00,90718.32164166665,6826.5,0.0721042584429972,94682.57164166665,1191.2469833333332,15466.324025,5935.963655,7830.244482499999,3595.567466666667,10936.70915,2016.96125,2950.863111666666,14443.203608333335,2283.307479166667,1491.790465833333,1727.4965141666664,2628.792441666667,1975.6423249999998,4503.660074166667,3281.2433941666663,31882.996450000002,94682.57164166665,14443.203608333335,46629.38446666667,5147.937133333333,2166.8314641666666,5078.591175833332,166.37985608333335,92561.66666666667,15179.583333333334,42992.5,2202.9166666666665,171.0,33237.583333333336,204.83333333333334,29.916666666666668,3.3333333333333335,3934.3333333333335,,659.3333333333334
2024-02-02 03:00:00+00:00,2024-02-02 04:00:00+00:00,85778.36073333333,7029.75,0.0777362825938267,90453.69406666666,1119.792648333333,14952.333749999998,5663.212950833334,7442.752243333333,3381.3246283333337,10609.855333333335,1937.8450308333333,2810.7768925000005,13855.728816666668,2159.9585599999996,1425.0204675000002,1743.29904,2451.291829166667,1869.4923883333333,4224.1346225,3095.1255225,30011.446416666673,90453.69406666666,13855.728816666668,44841.5955,4841.543565,2085.1284966666667,4813.217725,155.6002034166667,88599.41666666667,14144.5,40651.416666666664,1690.8333333333333,171.0,33422.583333333336,207.75,30.0,0.16666666666666666,4645.333333333333,,663.5833333333334
2024-02-02 04:00:00+00:00,2024-02-02 05:00:00+00:00,81276.60710833334,7212.166666666667,0.08365268906218691,86233.10710833334,1051.8152316666667,14361.991125,5412.0677025,7129.741287500001,3174.4562383333327,10174.344683333333,1839.6477725000004,2680.983631666667,13307.583758333334,2028.9843600000002,1368.5185591666668,1633.758415,2285.2173000000003,1777.5571916666668,3997.8759741666668,2905.070680833333,28325.58975,86233.10710833334,13307.583758333334,42966.452425,4608.671801666666,1981.121661666667,4542.052643333333,144.9607115,85394.875,13440.75,39213.333333333336,1586.1666666666667,171.0,33478.416666666664,209.83333333333334,29.083333333333332,0.0,4927.416666666667,,669.5
2024-02-02 05:00:00+00:00,2024-02-02 06:00:00+00:00,77994.20784166666,7476.333333333333,0.0898727354552844,83194.87450833333,1005.7862351666666,13958.843233333333,5234.307853333334,6934.959749999999,3022.9556,9742.306708333335,1765.1772183333333,2616.0670999999998,12963.322166666667,1946.79912,1321.0828758333334,1667.8442866666667,2163.9877133333334,1710.2337049999999,3798.6577858333335,2741.1130150000004,26990.026716666664,83194.87450833333,12963.322166666667,41574.405666666666,4447.075305833334,1873.6662583333334,4330.1238791666665,137.318208,82320.125,12853.333333333334,37789.25,1600.1666666666667,177.41666666666666,33483.833333333336,210.91666666666666,28.083333333333332,0.0,5172.583333333333,,675.5
